Lemma	Eng Gloss	POS	Level	Word source	Ex. ID	Form 	Analysis	Example Sentence	Translation	Reference	Topic(s)
аппетит	_	N.Masc.Inan	A1	MiP, LM	1	аппетит	Acc.Sing	_	_	_	_
аппетит	_	N.Masc.Inan	A1	MiP, LM	2	аппетиты	Nom.Plur	_	_	_	_
аппетит	_	N.Masc.Inan	A1	MiP, LM	3	аппетитом	Ins.Sing	_	_	_	_
багаж	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	1	багажа	Gen.Sing	_	_	_	_
багаж	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	2	багаж	Nom.Sing	_	_	_	_
багаж	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	3	багажом	Ins.Sing	_	_	_	_
бег	_	N.Masc.Inan	A1	LM	1	бегу	Loc.Sing	_	_	_	_
бег	_	N.Masc.Inan	A1	LM	2	бега	Gen.Sing	_	_	_	_
бег	_	N.Masc.Inan	A1	LM	3	беге	Loc.Sing	_	_	_	_
бегать	_	V	A1	Golosa, LM, МН	1	бегали	Plur.Past	_	_	_	_
бегать	_	V	A1	Golosa, LM, МН	2	бегать	Inf	_	_	_	_
бегать	_	V	A1	Golosa, LM, МН	3	бегала	Fem.Sing.Past	_	_	_	_
бежать	_	V	A1	LM	1	бежать	Inf	_	_	_	_
бежать	_	V	A1	LM	2	бежит	Sing.3.Pres/Fut	_	_	_	_
бежать	_	V	A1	LM	3	бежал	Masc.Sing.Past	_	_	_	_
берег	_	N.Masc.Inan	A1	LM	1	берегу	Loc.Sing	_	_	_	_
берег	_	N.Masc.Inan	A1	LM	2	берег	Acc.Sing	_	_	_	_
берег	_	N.Masc.Inan	A1	LM	3	берега	Gen.Sing	_	_	_	_
беречь	_	V	A1	LM	1	беречь	Inf	_	_	_	_
беречь	_	V	A1	LM	2	берёг	Masc.Sing.Past	_	_	_	_
беречь	_	V	A1	LM	3	берегла	Fem.Sing.Past	_	_	_	_
беседовать	_	V	A1	LM	1	беседовали	Plur.Past	_	_	_	_
беседовать	_	V	A1	LM	2	беседуем	Plur.1.Pres/Fut	_	_	_	_
беседовать	_	V	A1	LM	3	беседовать	Inf	_	_	_	_
бесплатный	_	A	A1	LM	1	бесплатного	Gen.Masc.Sing	_	_	_	_
бесплатный	_	A	A1	LM	2	бесплатная	Nom.Fem.Sing	_	_	_	_
бесплатный	_	A	A1	LM	3	бесплатной	Gen.Fem.Sing	_	_	_	_
бесплатный	_	A	A1	Golosa	1	бесплатного	Gen.Masc.Sing	_	_	_	_
бесплатный	_	A	A1	Golosa	2	бесплатная	Nom.Fem.Sing	_	_	_	_
бесплатный	_	A	A1	Golosa	3	бесплатной	Gen.Fem.Sing	_	_	_	_
биография	_	N.Fem.Inan	A1	LM	1	биография	Nom.Sing	_	_	_	_
биография	_	N.Fem.Inan	A1	LM	2	биографии	Gen.Sing	_	_	_	_
биография	_	N.Fem.Inan	A1	LM	3	биографию	Acc.Sing	_	_	_	_
бить	_	V	A1	LM	1	бьёт	Sing.3.Pres/Fut	_	_	_	_
бить	_	V	A1	LM	2	бить	Inf	_	_	_	_
бить	_	V	A1	LM	3	бил	Masc.Sing.Past	_	_	_	_
благодарить	_	V	A1	LM	1	благодарю	Sing.1.Pres/Fut	_	_	_	_
