Lemma	Eng Gloss	POS	Level	Word source	Ex. ID	Form 	Analysis	Example Sentence	Translation	Reference	Topic(s)
аббревиатура	_	N.Fem.Inan	B2	LM	1	аббревиатура	Nom.Sing	_	_	_	_
аббревиатура	_	N.Fem.Inan	B2	LM	2	аббревиатуру	Acc.Sing	_	_	_	_
абзац	_	N.Masc.Inan	B2	Golosa, LM	1	абзацем	Ins.Sing	_	_	_	_
абзац	_	N.Masc.Inan	B2	Golosa, LM	2	абзац	Nom.Sing	_	_	_	_
абзац	_	N.Masc.Inan	B2	Golosa, LM	3	абзацев	Gen.Plur	_	_	_	_
аборт	_	N.Masc.Inan	B2	LM	1	аборта	Gen.Sing	_	_	_	_
аборт	_	N.Masc.Inan	B2	LM	2	аборты	Nom.Plur	_	_	_	_
аборт	_	N.Masc.Inan	B2	LM	3	абортах	Loc.Plur	_	_	_	_
абрикос	_	N.Masc.Inan	B2	LM	1	абрикосы	Nom.Plur	_	_	_	_
абрикос	_	N.Masc.Inan	B2	LM	2	абрикоса	Gen.Sing	_	_	_	_
абрикос	_	N.Masc.Inan	B2	LM	3	абрикос	Nom.Sing	_	_	_	_
абсолютный	_	A	B2	LM	1	абсолютные	Nom.Plur	_	_	_	_
абсолютный	_	A	B2	LM	2	абсолютного	Gen.Masc.Sing	_	_	_	_
абсолютный	_	A	B2	LM	3	абсолютный	Nom.Masc.Sing	_	_	_	_
абсурд	_	N.Masc.Inan	B2	LM	1	абсурда	Gen.Sing	_	_	_	_
абсурд	_	N.Masc.Inan	B2	LM	2	абсурд	Nom.Sing	_	_	_	_
абсурд	_	N.Masc.Inan	B2	LM	3	абсурду	Dat.Sing	_	_	_	_
абсурдный	_	A	B2	LM	1	абсурдными	Ins.Plur	_	_	_	_
абсурдный	_	A	B2	LM	2	абсурдным	Ins.Masc.Sing	_	_	_	_
абсурдный	_	A	B2	LM	3	абсурдной	Ins.Fem.Sing	_	_	_	_
абхазец	_	N.Masc.Anim	B2	LM	1	абхазцев	Gen.Plur	_	_	_	_
абхазец	_	N.Masc.Anim	B2	LM	2	абхазцы	Nom.Plur	_	_	_	_
абхазец	_	N.Masc.Anim	B2	LM	3	абхазца	Acc.Sing	_	_	_	_
авария	_	N.Fem.Inan	B2	LM	1	аварии	Gen.Sing	_	_	_	_
авария	_	N.Fem.Inan	B2	LM	2	авариях	Loc.Plur	_	_	_	_
авария	_	N.Fem.Inan	B2	LM	3	авариями	Ins.Plur	_	_	_	_
австралиец	_	N.Masc.Anim	B2	LM, Поехали	1	австралийцем	Ins.Sing	_	_	_	_
австралиец	_	N.Masc.Anim	B2	LM, Поехали	2	австралийцами	Ins.Plur	_	_	_	_
австралиец	_	N.Masc.Anim	B2	LM, Поехали	3	австралиец	Nom.Sing	_	_	_	_
австриец	_	N.Masc.Anim	B2	LM	1	австрийца	Gen.Sing	_	_	_	_
автобиография	_	N.Fem.Inan	B2	Golosa, LM, Кс	1	автобиография	Nom.Sing	_	_	_	_
автобиография	_	N.Fem.Inan	B2	Golosa, LM, Кс	2	автобиографии	Gen.Sing	_	_	_	_
интервью	_	N.Neut.Inan	B2	Golosa, MiP, LM	1	интервью	Loc.Sing	_	_	_	_
бюро	_	N.Neut.Inan	B2	Golosa, MiP, LM	1	бюро	Gen.Sing	_	_	_	_
автономия	_	N.Fem.Inan	B2	LM	1	автономии	Gen.Sing	_	_	_	_
автономия	_	N.Fem.Inan	B2	LM	2	автономию	Acc.Sing	_	_	_	_
автономный	_	A	B2	LM	1	автономном	Loc.Masc.Sing	_	_	_	_
автономный	_	A	B2	LM	2	автономного	Gen.Neut.Sing	_	_	_	_
автономный	_	A	B2	LM	3	автономная	Nom.Fem.Sing	_	_	_	_
автоответчик	_	N.Masc.Inan	B2	Golosa, LM	1	автоответчик	Nom.Sing	_	_	_	_
авторитет	_	N.Masc.Inan	B2	LM	1	авторитет	Acc.Sing	_	_	_	_
авторитет	_	N.Masc.Inan	B2	LM	2	авторитетом	Ins.Sing	_	_	_	_
авторитет	_	N.Masc.Inan	B2	LM	3	авторитетами	Ins.Plur	_	_	_	_
агент	_	N.Masc.Anim	B2	LM	1	агент	Nom.Sing	_	_	_	_
агент	_	N.Masc.Inan	B2	LM	2	агентов	Gen.Plur	_	_	_	_
агент	_	N.Masc.Anim	B2	LM	3	агентами	Ins.Plur	_	_	_	_
агентство	_	N.Neut.Inan	B2	LM	1	агентства	Gen.Sing	_	_	_	_
агентство	_	N.Neut.Inan	B2	LM	2	агентство	Nom.Sing	_	_	_	_
агентство	_	N.Neut.Inan	B2	LM	3	агентством	Ins.Sing	_	_	_	_
агрессивный	_	A	B2	LM	1	агрессивный	Nom.Masc.Sing	_	_	_	_
агрессивный	_	A	B2	LM	2	агрессивной	Gen.Fem.Sing	_	_	_	_
агрессивный	_	A	B2	LM	3	агрессивными	Ins.Plur	_	_	_	_
ад	_	N.Masc.Inan	B2	LM	1	ада	Gen.Sing	_	_	_	_
ад	_	N.Masc.Inan	B2	LM	2	ад	Acc.Sing	_	_	_	_
ад	_	N.Masc.Inan	B2	LM	3	аду	Loc.Sing	_	_	_	_
адаптироваться	_	V	B2	LM	1	адаптироваться	Inf	_	_	_	_
адаптироваться	_	V	B2	LM	2	адаптируются	Plur.3.Pres/Fut	_	_	_	_
адаптироваться	_	V	B2	LM	3	адаптировались	Plur.Past	_	_	_	_
адвокат	_	N.Masc.Anim	B2	LM	1	адвокат	Nom.Sing	_	_	_	_
адвокат	_	N.Masc.Anim	B2	LM	2	адвокаты	Nom.Plur	_	_	_	_
адвокат	_	N.Masc.Anim	B2	LM	3	адвокатов	Gen.Plur	_	_	_	_
адекватный	_	A	B2	LM	1	адекватная	Nom.Fem.Sing	_	_	_	_
адекватный	_	A	B2	LM	2	адекватных	Gen.Plur	_	_	_	_
адекватный	_	A	B2	LM	3	адекватным	Ins.Neut.Sing	_	_	_	_
административный	_	A	B2	LM	1	административной	Gen.Fem.Sing	_	_	_	_
административный	_	A	B2	LM	2	административных	Gen.Plur	_	_	_	_
административный	_	A	B2	LM	3	административного	Gen.Masc.Sing	_	_	_	_
администратор	_	N.Masc.Anim	B2	MiP, LM, МН	1	администратору	Dat.Sing	_	_	_	_
администратор	_	N.Masc.Anim	B2	MiP, LM, МН	2	администратор	Nom.Sing	_	_	_	_
азартный	_	A	B2	LM	1	азартные	Nom.Plur	_	_	_	_
азартный	_	A	B2	LM	2	азартную	Acc.Fem.Sing	_	_	_	_
азартный	_	A	B2	LM	3	азартному	Dat.Masc.Sing	_	_	_	_
академик	_	N.Masc.Anim	B2	LM	1	академик	Nom.Sing	_	_	_	_
